suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,time_ms_avg
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,512,0.008823
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,4096,0.010627
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,32768,0.024376
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,100000,0.056444
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,262144,0.133843
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,500000,0.247644
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,1000000,0.486827
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,2097152,1.011745
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,1,0.008672
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,8,0.008737
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,64,0.008752
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,512,0.008850
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,4096,0.010556
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,32768,0.024235
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,100000,0.056365
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,262144,0.133855
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,500000,0.247729
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,1000000,0.486743
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,2097152,1.011363
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,1,0.008649
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,8,0.008728
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,64,0.008702
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,512,0.008866
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,4096,0.010573
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,32768,0.024286
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,100000,0.056395
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,262144,0.133832
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,500000,0.247611
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,1000000,0.486817
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,2097152,1.011252
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,256,0.005626
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,512,0.005720
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,1024,0.011025
